YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2010/03,NonStructural Fires,Brooklyn,572,04:08
2010/03,NonStructural Fires,Queens,358,04:43
2010/03,Structural Fires,Citywide,2325,04:02
2010/03,Structural Fires,Manhattan,512,04:14
2010/03,Structural Fires,Bronx,511,04:09
2010/03,Structural Fires,Staten Island,131,04:24
2010/03,Structural Fires,Brooklyn,784,03:36
2010/03,Structural Fires,Queens,387,04:24
2010/04,All Fire/Emergency Incidents,Citywide,38465,04:28
2010/04,All Fire/Emergency Incidents,Manhattan,10083,04:37
2010/04,All Fire/Emergency Incidents,Bronx,7711,04:37
2010/04,All Fire/Emergency Incidents,Staten Island,2325,04:45
2010/04,All Fire/Emergency Incidents,Brooklyn,10702,04:01
2010/04,All Fire/Emergency Incidents,Queens,7644,04:40
2010/04,False Alarm,Citywide,2089,04:15
2010/04,False Alarm,Manhattan,370,04:26
2010/04,False Alarm,Bronx,644,04:26
2010/04,False Alarm,Staten Island,178,04:15
2010/04,False Alarm,Brooklyn,402,03:43
2010/04,False Alarm,Queens,495,04:17
2010/04,Medical Emergencies,Citywide,17252,04:13
2010/04,Medical Emergencies,Manhattan,4525,04:20
2010/04,Medical Emergencies,Bronx,3145,04:20
2010/04,Medical Emergencies,Staten Island,917,04:30
2010/04,Medical Emergencies,Brooklyn,4966,03:52
2010/04,Medical Emergencies,Queens,3699,04:27
2010/04,Medical False Alarm,Citywide,383,04:11
2010/04,Medical False Alarm,Manhattan,91,04:17
2010/04,Medical False Alarm,Bronx,75,04:12
2010/04,Medical False Alarm,Staten Island,14,04:33
2010/04,Medical False Alarm,Brooklyn,122,03:53
2010/04,Medical False Alarm,Queens,81,04:25
2010/04,NonMedical Emergencies,Citywide,15101,04:48
2010/04,NonMedical Emergencies,Manhattan,4188,04:55
2010/04,NonMedical Emergencies,Bronx,3112,04:59
2010/04,NonMedical Emergencies,Staten Island,995,05:00
2010/04,NonMedical Emergencies,Brooklyn,4131,04:19
2010/04,NonMedical Emergencies,Queens,2675,05:03
2010/04,NonStructural Fires,Citywide,1467,04:22
2010/04,NonStructural Fires,Manhattan,378,04:37
2010/04,NonStructural Fires,Bronx,265,04:26
2010/04,NonStructural Fires,Staten Island,119,04:54
2010/04,NonStructural Fires,Brooklyn,377,03:46
2010/04,NonStructural Fires,Queens,328,04:33
2010/04,Structural Fires,Citywide,2173,03:59
2010/04,Structural Fires,Manhattan,531,04:06
2010/04,Structural Fires,Bronx,470,04:04
2010/04,Structural Fires,Staten Island,102,04:50
2010/04,Structural Fires,Brooklyn,704,03:33
2010/04,Structural Fires,Queens,366,04:20
2010/05,All Fire/Emergency Incidents,Citywide,43848,04:31
2010/05,All Fire/Emergency Incidents,Manhattan,11363,04:34
2010/05,All Fire/Emergency Incidents,Bronx,8748,04:43
2010/05,All Fire/Emergency Incidents,Staten Island,2410,04:49
2010/05,All Fire/Emergency Incidents,Brooklyn,12055,04:04
2010/05,All Fire/Emergency Incidents,Queens,9272,04:48
2010/05,False Alarm,Citywide,2614,04:19
2010/05,False Alarm,Manhattan,424,04:20
2010/05,False Alarm,Bronx,740,04:32
2010/05,False Alarm,Staten Island,223,04:19
2010/05,False Alarm,Brooklyn,475,03:53
2010/05,False Alarm,Queens,752,04:23
2010/05,Medical Emergencies,Citywide,19278,04:15
2010/05,Medical Emergencies,Manhattan,5086,04:19
2010/05,Medical Emergencies,Bronx,3617,04:24
2010/05,Medical Emergencies,Staten Island,916,04:42
2010/05,Medical Emergencies,Brooklyn,5549,03:54
2010/05,Medical Emergencies,Queens,4110,04:28
2010/05,Medical False Alarm,Citywide,431,04:07
2010/05,Medical False Alarm,Manhattan,104,04:03
2010/05,Medical False Alarm,Bronx,107,04:09
2010/05,Medical False Alarm,Staten Island,16,04:08
2010/05,Medical False Alarm,Brooklyn,128,03:57
2010/05,Medical False Alarm,Queens,76,04:23
2010/05,NonMedical Emergencies,Citywide,17866,04:53
2010/05,NonMedical Emergencies,Manhattan,4847,04:52
2010/05,NonMedical Emergencies,Bronx,3580,05:07
2010/05,NonMedical Emergencies,Staten Island,1074,05:04
